ticker,tickerId,exchangeId,type,secType,regionId,regionCode,currencyId,name,symbol,disSymbol,disExchangeCode,exchangeCode,listStatus,template,derivativeSupport,isPTP,isAdr,filingsSupport,shariahFlag,issuerRegionId,securitySubType,bondSupport,mkTradeTime,tradeTime,status,close,change,changeRatio,marketValue,volume,turnoverRate,overnight,nBaSize,timeZone,tzName,preClose,open,high,low,vibrateRatio,avgVol10D,avgVol3M,negMarketValue,pe,forwardPe,indicatedPe,peTtm,eps,epsTtm,pb,totalShares,outstandingShares,fiftyTwoWkHigh,fiftyTwoWkLow,dividend,yield,baSize,ntvSize,currencyCode,lotSize,latestDividendDate,latestSplitDate,latestEarningsDate,ps,bps,estimateEarningsDate,tradeStatus,bboValve
,913256135,96,2,[61],6,US,247,Apple Inc,AAPL,AAPL,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,1,2025-08-14T16:12:16.110+0000,2025-08-14T16:12:16.110+0000,T,231.45,-1.88,-0.0081,3434747419901.00,25931822,0.0017,0,1,America/New_York,EDT,233.33,234.13,235.11,230.85,0.0183,77796280,56475339,3362368902613.58,38.04,31.36,25.90,35.18,6.08,6.58,52.23,14840390000,14527666736,259.18,168.80,1.040,0.0045,0,0,USD,1,2025-08-11,2020-08-31,,8.41,4.431,10/29-11/03,T,0
,913255598,96,2,[61],6,US,247,Tesla Inc,TSLA,TSLA,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,0,2025-08-14T16:12:17.833+0000,2025-08-14T16:12:17.833+0000,T,331.42,-7.96,-0.0235,1068978270792.38,40744473,0.0126,0,1,America/New_York,EDT,339.38,335.73,340.47,330.40,0.0297,78313289,103714194,931334481357.62,162.60,266.20,76.96,192.08,2.038,1.725,13.82,3225448889,2810133611,488.54,194.67,,0.0000,0,0,USD,1,2022-08-25,2020-08-31,,11.52,23.98,10/21-10/27,T,0
,913256135,96,2,[61],6,US,247,Apple Inc,AAPL,AAPL,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,1,2025-08-14T16:48:35.379+0000,2025-08-14T16:48:35.379+0000,T,232.20,-1.13,-0.0048,3445938558000.00,27722152,0.0019,0,1,America/New_York,EDT,233.33,234.13,235.11,230.85,0.0183,77796280,56475339,3373324216099.20,38.17,31.46,25.90,35.30,6.08,6.58,52.40,14840390000,14527666736,259.18,168.80,1.040,0.0045,0,0,USD,1,2025-08-11,2020-08-31,,8.44,4.431,10/29-11/03,T,0
,913255598,96,2,[61],6,US,247,Tesla Inc,TSLA,TSLA,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,0,2025-08-14T16:48:35.745+0000,2025-08-14T16:48:35.745+0000,T,331.35,-8.03,-0.0237,1068752489370.15,44866993,0.0139,0,1,America/New_York,EDT,339.38,335.73,340.47,330.40,0.0297,78313289,103714194,931137772004.85,162.56,266.14,76.96,192.04,2.038,1.725,13.82,3225448889,2810133611,488.54,194.67,,0.0000,0,0,USD,1,2022-08-25,2020-08-31,,11.52,23.98,10/21-10/27,T,0
,913256135,96,2,[61],6,US,247,Apple Inc,AAPL,AAPL,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,1,2025-08-14T17:42:56.223+0000,2025-08-14T17:42:56.223+0000,T,233.02,-0.31,-0.0013,3458107677800.00,31475006,0.0021,0,1,America/New_York,EDT,233.33,234.13,235.11,230.85,0.0183,77796280,56475339,3385236902822.72,38.30,31.57,25.90,35.42,6.08,6.58,52.59,14840390000,14527666736,259.18,168.80,1.040,0.0045,0,0,USD,1,2025-08-11,2020-08-31,,8.47,4.431,10/29-11/03,T,0
,913255598,96,2,[61],6,US,247,Tesla Inc,TSLA,TSLA,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,0,2025-08-14T17:42:59.229+0000,2025-08-14T17:42:59.229+0000,T,333.85,-5.53,-0.0163,1076816111592.65,52557839,0.0163,0,1,America/New_York,EDT,339.38,335.73,340.47,330.40,0.0297,78313289,103714194,938163106032.35,163.79,268.15,76.96,193.49,2.038,1.725,13.92,3225448889,2810133611,488.54,194.67,,0.0000,0,0,USD,1,2022-08-25,2020-08-31,,11.61,23.98,10/21-10/27,T,0
,913256135,96,2,[61],6,US,247,Apple Inc,AAPL,AAPL,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,1,2025-08-14T18:52:20.298+0000,2025-08-14T18:52:20.298+0000,T,233.31,-0.02,-0.0001,3462346093184.00,35368818,0.0024,0,1,America/New_York,EDT,233.33,234.13,235.11,230.85,0.0183,77796280,56475339,3389386004442.52,38.35,31.61,25.90,35.47,6.08,6.58,52.65,14840390000,14527666736,259.18,168.80,1.040,0.0045,0,0,USD,1,2025-08-11,2020-08-31,,8.48,4.431,10/29-11/03,T,0
,913255598,96,2,[61],6,US,247,Tesla Inc,TSLA,TSLA,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,0,2025-08-14T18:52:20.851+0000,2025-08-14T18:52:20.851+0000,T,334.28,-5.11,-0.0150,1078186927370.48,59302736,0.0184,0,1,America/New_York,EDT,339.38,335.73,340.47,330.40,0.0297,78313289,103714194,939357412817.03,164.00,268.49,76.96,193.74,2.038,1.725,13.94,3225448889,2810133611,488.54,194.67,,0.0000,0,0,USD,1,2022-08-25,2020-08-31,,11.62,23.98,10/21-10/27,T,0
,913256135,96,2,[61],6,US,247,Apple Inc,AAPL,AAPL,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,1,2025-08-14T19:35:42.068+0000,2025-08-14T19:35:42.068+0000,T,232.81,-0.53,-0.0023,3454916993950.00,38957191,0.0026,0,1,America/New_York,EDT,233.33,234.13,235.11,230.85,0.0183,77796280,56475339,3382113454474.48,38.27,31.55,25.90,35.39,6.08,6.58,52.54,14840390000,14527666736,259.18,168.80,1.040,0.0045,0,0,USD,1,2025-08-11,2020-08-31,,8.46,4.431,10/29-11/03,T,0
,913255598,96,2,[61],6,US,247,Tesla Inc,TSLA,TSLA,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,0,2025-08-14T19:35:41.621+0000,2025-08-14T19:35:41.621+0000,T,334.42,-4.96,-0.0146,1078654617459.38,65073254,0.0202,0,1,America/New_York,EDT,339.38,335.73,340.47,330.40,0.0297,78313289,103714194,939764882190.62,164.07,268.61,76.96,193.82,2.038,1.725,13.95,3225448889,2810133611,488.54,194.67,,0.0000,0,0,USD,1,2022-08-25,2020-08-31,,11.63,23.98,10/21-10/27,T,0
,913256135,96,2,[61],6,US,247,Apple Inc,AAPL,AAPL,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,1,2025-08-14T20:00:00.745+0000,2025-08-14T20:25:34.903+0000,A,232.78,-0.55,-0.0024,3454545984200.00,51500171,0.0035,0,1,America/New_York,EDT,233.33,234.06,235.12,230.85,0.0183,77796280,56475339,3381750262806.08,38.26,31.54,25.90,35.39,6.08,6.58,52.53,14840390000,14527666736,259.18,168.80,1.040,0.0045,0,0,USD,1,2025-08-11,2020-08-31,,8.46,4.431,10/29-11/03,A,0
,913255598,96,2,[61],6,US,247,Tesla Inc,TSLA,TSLA,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,0,2025-08-14T20:00:00.641+0000,2025-08-14T20:25:38.160+0000,A,335.58,-3.80,-0.0112,1082396138170.62,73078742,0.0227,0,1,America/New_York,EDT,339.38,335.76,340.47,330.40,0.0297,78313289,103714194,943024637179.38,164.64,269.54,76.96,194.49,2.038,1.725,13.99,3225448889,2810133611,488.54,194.67,,0.0000,0,0,USD,1,2022-08-25,2020-08-31,,11.67,23.98,10/21-10/27,A,0
